Logging
ITERATION 399.0000 | TOTAL G LOSS -8.1397
ITERATION 400.0000 | TOTAL G LOSS -6.4401
ITERATION 401.0000 | TOTAL G LOSS -7.7057
ITERATION 402.0000 | TOTAL G LOSS -8.0098
ITERATION 403.0000 | TOTAL G LOSS -6.3509
ITERATION 404.0000 | TOTAL G LOSS -7.4810
ITERATION 405.0000 | TOTAL G LOSS -7.4615
ITERATION 406.0000 | TOTAL G LOSS -7.8330
ITERATION 407.0000 | TOTAL G LOSS -6.3997
ITERATION 408.0000 | TOTAL G LOSS -7.2280
ITERATION 409.0000 | TOTAL G LOSS -7.0869
ITERATION 410.0000 | TOTAL G LOSS -7.4986
ITERATION 411.0000 | TOTAL G LOSS -7.3851
ITERATION 412.0000 | TOTAL G LOSS -7.1125
ITERATION 413.0000 | TOTAL G LOSS -7.6091
ITERATION 414.0000 | TOTAL G LOSS -8.2396
ITERATION 415.0000 | TOTAL G LOSS -7.0068
ITERATION 416.0000 | TOTAL G LOSS -7.2178
ITERATION 417.0000 | TOTAL G LOSS -7.3945
ITERATION 418.0000 | TOTAL G LOSS -7.2300
ITERATION 419.0000 | TOTAL G LOSS -6.8137
ITERATION 420.0000 | TOTAL G LOSS -8.0969
ITERATION 421.0000 | TOTAL G LOSS -8.2125
ITERATION 422.0000 | TOTAL G LOSS -7.7557
ITERATION 423.0000 | TOTAL G LOSS -7.0634
ITERATION 424.0000 | TOTAL G LOSS -7.0604
ITERATION 425.0000 | TOTAL G LOSS -6.9304
ITERATION 426.0000 | TOTAL G LOSS -6.4253
ITERATION 427.0000 | TOTAL G LOSS -5.9094
ITERATION 428.0000 | TOTAL G LOSS -7.0675
ITERATION 429.0000 | TOTAL G LOSS -6.7989
ITERATION 430.0000 | TOTAL G LOSS -7.0489
ITERATION 431.0000 | TOTAL G LOSS -6.6147
ITERATION 432.0000 | TOTAL G LOSS -5.9519
ITERATION 433.0000 | TOTAL G LOSS -5.2651
ITERATION 434.0000 | TOTAL G LOSS -5.2955
ITERATION 435.0000 | TOTAL G LOSS -6.7577
ITERATION 436.0000 | TOTAL G LOSS -6.8986
ITERATION 437.0000 | TOTAL G LOSS -7.8215
ITERATION 438.0000 | TOTAL G LOSS -6.8124
ITERATION 439.0000 | TOTAL G LOSS -6.1438
ITERATION 440.0000 | TOTAL G LOSS -5.6971
ITERATION 441.0000 | TOTAL G LOSS -4.7763
ITERATION 442.0000 | TOTAL G LOSS -7.6613
ITERATION 443.0000 | TOTAL G LOSS -5.4120
ITERATION 444.0000 | TOTAL G LOSS -4.1597
ITERATION 445.0000 | TOTAL G LOSS -5.4789
ITERATION 446.0000 | TOTAL G LOSS -5.2609
ITERATION 447.0000 | TOTAL G LOSS -5.4457
ITERATION 448.0000 | TOTAL G LOSS -5.7425
ITERATION 449.0000 | TOTAL G LOSS -5.3684
ITERATION 450.0000 | TOTAL G LOSS -5.5778
ITERATION 451.0000 | TOTAL G LOSS -4.9602
ITERATION 452.0000 | TOTAL G LOSS -5.7126
ITERATION 453.0000 | TOTAL G LOSS -4.8321
ITERATION 454.0000 | TOTAL G LOSS -5.0020
ITERATION 455.0000 | TOTAL G LOSS -4.0749
ITERATION 456.0000 | TOTAL G LOSS -5.3608
ITERATION 457.0000 | TOTAL G LOSS -3.8077
ITERATION 458.0000 | TOTAL G LOSS -4.4132
ITERATION 459.0000 | TOTAL G LOSS -5.0035
ITERATION 460.0000 | TOTAL G LOSS -3.7488
ITERATION 461.0000 | TOTAL G LOSS -3.7616
ITERATION 462.0000 | TOTAL G LOSS -4.4821
ITERATION 463.0000 | TOTAL G LOSS -4.3593
ITERATION 464.0000 | TOTAL G LOSS -5.3658
ITERATION 465.0000 | TOTAL G LOSS -3.8846
ITERATION 466.0000 | TOTAL G LOSS -3.8502
ITERATION 467.0000 | TOTAL G LOSS -4.5630
ITERATION 468.0000 | TOTAL G LOSS -4.5343
ITERATION 469.0000 | TOTAL G LOSS -3.9685
ITERATION 470.0000 | TOTAL G LOSS -4.7162
ITERATION 471.0000 | TOTAL G LOSS -3.9820
ITERATION 472.0000 | TOTAL G LOSS -5.3352
ITERATION 473.0000 | TOTAL G LOSS -4.4845
ITERATION 474.0000 | TOTAL G LOSS -2.2210
