Logging
iteration 11500 | D LOSS = 1.1866 | G LOSS = -342836521633579008.0000 | AVG R =0.3998 |  
iteration 11550 | D LOSS = 1.1872 | G LOSS = -332071581243146240.0000 | AVG R =0.4025 |  
iteration 11600 | D LOSS = 1.1861 | G LOSS = -356484106634133504.0000 | AVG R =0.4018 |  
iteration 11650 | D LOSS = 1.1873 | G LOSS = -351894367142674432.0000 | AVG R =0.4025 |  
iteration 11700 | D LOSS = 1.1880 | G LOSS = -457500191247826944.0000 | AVG R =0.4025 |  
iteration 11750 | D LOSS = 1.1894 | G LOSS = -546011564478562304.0000 | AVG R =0.4039 |  
iteration 11800 | D LOSS = 1.1862 | G LOSS = -529371521144061952.0000 | AVG R =0.4030 |  
iteration 11850 | D LOSS = 1.1969 | G LOSS = -625984955041710080.0000 | AVG R =0.4019 |  
iteration 11900 | D LOSS = 1.1885 | G LOSS = -664635537537105920.0000 | AVG R =0.4016 |  
iteration 11950 | D LOSS = 1.1846 | G LOSS = -584503611141128192.0000 | AVG R =0.3979 |  
iteration 12000 | D LOSS = 1.1821 | G LOSS = -787542658141650944.0000 | AVG R =0.3955 |  
iteration 12050 | D LOSS = 1.1798 | G LOSS = -751205791708479488.0000 | AVG R =0.3989 |  
iteration 12100 | D LOSS = 1.1797 | G LOSS = -820575629572308992.0000 | AVG R =0.3982 |  
iteration 12150 | D LOSS = 1.1793 | G LOSS = -958151540961443840.0000 | AVG R =0.3997 |  
iteration 12200 | D LOSS = 1.1801 | G LOSS = -1105201875327647744.0000 | AVG R =0.3990 |  
iteration 12250 | D LOSS = 1.1825 | G LOSS = -1014009961467871232.0000 | AVG R =0.3990 |  
iteration 12300 | D LOSS = 1.1823 | G LOSS = -1219671206261686272.0000 | AVG R =0.3987 |  
iteration 12350 | D LOSS = 1.1792 | G LOSS = -1266858946790948864.0000 | AVG R =0.4002 |  
iteration 12400 | D LOSS = 1.1794 | G LOSS = -1352727918702231552.0000 | AVG R =0.3977 |  
iteration 12450 | D LOSS = 1.1801 | G LOSS = -1427161694806736896.0000 | AVG R =0.3993 |  
iteration 12500 | D LOSS = 1.1807 | G LOSS = -1656897365165998080.0000 | AVG R =0.3990 |  
iteration 12550 | D LOSS = 1.1811 | G LOSS = -1632809951619448832.0000 | AVG R =0.3984 |  
iteration 12600 | D LOSS = 1.1800 | G LOSS = -2248858482641993728.0000 | AVG R =0.3993 |  
iteration 12650 | D LOSS = 1.1814 | G LOSS = -1878368006619267072.0000 | AVG R =0.3989 |  
iteration 12700 | D LOSS = 1.1800 | G LOSS = -2431424554413850624.0000 | AVG R =0.3998 |  
iteration 12750 | D LOSS = 1.1811 | G LOSS = -2578813263483502592.0000 | AVG R =0.3985 |  
iteration 12800 | D LOSS = 1.1802 | G LOSS = -2108584438437773312.0000 | AVG R =0.3987 |  
