Logging
iteration 12600 | D LOSS = 1.3589 | G LOSS = -2.1467 | AVG R =0.4863 |  
iteration 12650 | D LOSS = 1.3593 | G LOSS = -0.1751 | AVG R =0.4861 |  
iteration 12700 | D LOSS = 1.3597 | G LOSS = 0.8838 | AVG R =0.4868 |  
iteration 12750 | D LOSS = 1.3598 | G LOSS = -1.5192 | AVG R =0.4865 |  
iteration 12800 | D LOSS = 1.3601 | G LOSS = -1.5529 | AVG R =0.4867 |  
iteration 12850 | D LOSS = 1.3585 | G LOSS = -2.8261 | AVG R =0.4861 |  
iteration 12900 | D LOSS = 1.3591 | G LOSS = -2.6426 | AVG R =0.4863 |  
iteration 12950 | D LOSS = 1.3595 | G LOSS = -2.7581 | AVG R =0.4857 |  
iteration 13000 | D LOSS = 1.3578 | G LOSS = -4.6782 | AVG R =0.4866 |  
iteration 13050 | D LOSS = 1.3577 | G LOSS = -1.1271 | AVG R =0.4863 |  
iteration 13100 | D LOSS = 1.3597 | G LOSS = -2.2829 | AVG R =0.4862 |  
iteration 13150 | D LOSS = 1.3595 | G LOSS = -2.9264 | AVG R =0.4863 |  
iteration 13200 | D LOSS = 1.3590 | G LOSS = -2.6457 | AVG R =0.4856 |  
iteration 13250 | D LOSS = 1.3577 | G LOSS = -3.1114 | AVG R =0.4863 |  
iteration 13300 | D LOSS = 1.3605 | G LOSS = -3.0773 | AVG R =0.4871 |  
iteration 13350 | D LOSS = 1.3607 | G LOSS = -2.6090 | AVG R =0.4876 |  
iteration 13400 | D LOSS = 1.3608 | G LOSS = -3.3534 | AVG R =0.4875 |  
iteration 13450 | D LOSS = 1.3599 | G LOSS = -0.5770 | AVG R =0.4877 |  
iteration 13500 | D LOSS = 1.3596 | G LOSS = -1.9996 | AVG R =0.4870 |  
iteration 13550 | D LOSS = 1.3596 | G LOSS = -4.7173 | AVG R =0.4865 |  
iteration 13600 | D LOSS = 1.3579 | G LOSS = -3.5741 | AVG R =0.4864 |  
iteration 13650 | D LOSS = 1.3570 | G LOSS = -2.6364 | AVG R =0.4858 |  
iteration 13700 | D LOSS = 1.3566 | G LOSS = -1.0172 | AVG R =0.4859 |  
iteration 13750 | D LOSS = 1.3569 | G LOSS = -4.5016 | AVG R =0.4846 |  
iteration 13800 | D LOSS = 1.3573 | G LOSS = -0.5546 | AVG R =0.4857 |  
iteration 13850 | D LOSS = 1.3605 | G LOSS = -2.0989 | AVG R =0.4867 |  
iteration 13900 | D LOSS = 1.3593 | G LOSS = -4.7441 | AVG R =0.4865 |  
iteration 13950 | D LOSS = 1.3593 | G LOSS = -1.2945 | AVG R =0.4866 |  
iteration 14000 | D LOSS = 1.3609 | G LOSS = -0.5860 | AVG R =0.4881 |  
iteration 14050 | D LOSS = 1.3597 | G LOSS = -1.3440 | AVG R =0.4866 |  
iteration 14100 | D LOSS = 1.3598 | G LOSS = -2.0143 | AVG R =0.4870 |  
iteration 14150 | D LOSS = 1.3580 | G LOSS = -1.9039 | AVG R =0.4866 |  
iteration 14200 | D LOSS = 1.3601 | G LOSS = -2.1868 | AVG R =0.4870 |  
iteration 14250 | D LOSS = 1.3589 | G LOSS = 0.3277 | AVG R =0.4865 |  
iteration 14300 | D LOSS = 1.3613 | G LOSS = -1.9285 | AVG R =0.4866 |  
iteration 14350 | D LOSS = 1.3614 | G LOSS = -1.6075 | AVG R =0.4872 |  
iteration 14400 | D LOSS = 1.3593 | G LOSS = -1.1402 | AVG R =0.4863 |  
iteration 14450 | D LOSS = 1.3597 | G LOSS = 0.9593 | AVG R =0.4876 |  
iteration 14500 | D LOSS = 1.3611 | G LOSS = -1.5964 | AVG R =0.4876 |  
iteration 14550 | D LOSS = 1.3610 | G LOSS = -1.0443 | AVG R =0.4877 |  
iteration 14600 | D LOSS = 1.3607 | G LOSS = -2.0593 | AVG R =0.4861 |  
iteration 14650 | D LOSS = 1.3605 | G LOSS = -0.0639 | AVG R =0.4874 |  
iteration 14700 | D LOSS = 1.3622 | G LOSS = -0.7828 | AVG R =0.4872 |  
iteration 14750 | D LOSS = 1.3615 | G LOSS = -2.8587 | AVG R =0.4872 |  
iteration 14800 | D LOSS = 1.3608 | G LOSS = -0.3439 | AVG R =0.4876 |  
