Logging
ITERATION 369.0000 | TOTAL G LOSS 3.4217
ITERATION 370.0000 | TOTAL G LOSS 3.3174
ITERATION 371.0000 | TOTAL G LOSS 7.5487
ITERATION 372.0000 | TOTAL G LOSS 6.6101
ITERATION 373.0000 | TOTAL G LOSS 5.5833
ITERATION 374.0000 | TOTAL G LOSS 6.2814
ITERATION 375.0000 | TOTAL G LOSS 6.7623
ITERATION 376.0000 | TOTAL G LOSS 4.1602
ITERATION 377.0000 | TOTAL G LOSS 7.1674
ITERATION 378.0000 | TOTAL G LOSS 4.4669
ITERATION 379.0000 | TOTAL G LOSS 3.6491
ITERATION 380.0000 | TOTAL G LOSS 3.7808
ITERATION 381.0000 | TOTAL G LOSS 4.8046
ITERATION 382.0000 | TOTAL G LOSS 4.0637
ITERATION 383.0000 | TOTAL G LOSS 3.2035
ITERATION 384.0000 | TOTAL G LOSS 5.7919
ITERATION 385.0000 | TOTAL G LOSS 3.0665
ITERATION 386.0000 | TOTAL G LOSS 4.3086
ITERATION 387.0000 | TOTAL G LOSS 4.5844
ITERATION 388.0000 | TOTAL G LOSS 4.2907
ITERATION 389.0000 | TOTAL G LOSS 4.2018
ITERATION 390.0000 | TOTAL G LOSS 4.8530
ITERATION 391.0000 | TOTAL G LOSS 5.3855
ITERATION 392.0000 | TOTAL G LOSS 3.1249
ITERATION 393.0000 | TOTAL G LOSS 4.6338
ITERATION 394.0000 | TOTAL G LOSS 4.7740
ITERATION 395.0000 | TOTAL G LOSS 3.0587
ITERATION 396.0000 | TOTAL G LOSS 4.4751
ITERATION 397.0000 | TOTAL G LOSS 2.1403
ITERATION 398.0000 | TOTAL G LOSS 4.0930
ITERATION 399.0000 | TOTAL G LOSS 2.8718
ITERATION 400.0000 | TOTAL G LOSS 2.5670
ITERATION 401.0000 | TOTAL G LOSS 5.4834
ITERATION 402.0000 | TOTAL G LOSS 3.6594
ITERATION 403.0000 | TOTAL G LOSS 3.3631
ITERATION 404.0000 | TOTAL G LOSS 1.2843
ITERATION 405.0000 | TOTAL G LOSS 3.2903
ITERATION 406.0000 | TOTAL G LOSS 4.1758
ITERATION 407.0000 | TOTAL G LOSS 4.7015
ITERATION 408.0000 | TOTAL G LOSS 3.5599
ITERATION 409.0000 | TOTAL G LOSS 1.9346
ITERATION 410.0000 | TOTAL G LOSS 5.2853
ITERATION 411.0000 | TOTAL G LOSS 2.1712
ITERATION 412.0000 | TOTAL G LOSS 2.1117
ITERATION 413.0000 | TOTAL G LOSS 2.9813
ITERATION 414.0000 | TOTAL G LOSS 5.1182
ITERATION 415.0000 | TOTAL G LOSS 2.9819
ITERATION 416.0000 | TOTAL G LOSS 0.4199
ITERATION 417.0000 | TOTAL G LOSS 1.9991
ITERATION 418.0000 | TOTAL G LOSS 2.4792
ITERATION 419.0000 | TOTAL G LOSS 4.9331
ITERATION 420.0000 | TOTAL G LOSS 5.6358
ITERATION 421.0000 | TOTAL G LOSS 2.6430
ITERATION 422.0000 | TOTAL G LOSS 2.7649
ITERATION 423.0000 | TOTAL G LOSS 2.5753
ITERATION 424.0000 | TOTAL G LOSS 2.6946
ITERATION 425.0000 | TOTAL G LOSS 3.2309
ITERATION 426.0000 | TOTAL G LOSS 5.4425
ITERATION 427.0000 | TOTAL G LOSS 4.0035
ITERATION 428.0000 | TOTAL G LOSS 2.5516
ITERATION 429.0000 | TOTAL G LOSS -0.0306
ITERATION 430.0000 | TOTAL G LOSS 3.0729
ITERATION 431.0000 | TOTAL G LOSS 2.3218
ITERATION 432.0000 | TOTAL G LOSS -0.0461
ITERATION 433.0000 | TOTAL G LOSS 2.6385
ITERATION 434.0000 | TOTAL G LOSS 3.4375
ITERATION 435.0000 | TOTAL G LOSS 2.8635
ITERATION 436.0000 | TOTAL G LOSS 3.3535
ITERATION 437.0000 | TOTAL G LOSS 2.9991
ITERATION 438.0000 | TOTAL G LOSS 3.3602
ITERATION 439.0000 | TOTAL G LOSS 2.7414
ITERATION 440.0000 | TOTAL G LOSS 2.8696
ITERATION 441.0000 | TOTAL G LOSS 4.4044
ITERATION 442.0000 | TOTAL G LOSS 3.6057
ITERATION 443.0000 | TOTAL G LOSS 3.8822
ITERATION 444.0000 | TOTAL G LOSS 1.2450
ITERATION 445.0000 | TOTAL G LOSS 5.2056
ITERATION 446.0000 | TOTAL G LOSS 2.8975
ITERATION 447.0000 | TOTAL G LOSS 2.9974
ITERATION 448.0000 | TOTAL G LOSS 3.3226
ITERATION 449.0000 | TOTAL G LOSS 2.8878
ITERATION 450.0000 | TOTAL G LOSS 4.0099
ITERATION 451.0000 | TOTAL G LOSS 3.0755
ITERATION 452.0000 | TOTAL G LOSS 1.0760
ITERATION 453.0000 | TOTAL G LOSS 3.1206
ITERATION 454.0000 | TOTAL G LOSS 4.1109
ITERATION 455.0000 | TOTAL G LOSS 3.5413
ITERATION 456.0000 | TOTAL G LOSS 0.2916
ITERATION 457.0000 | TOTAL G LOSS 3.6625
ITERATION 458.0000 | TOTAL G LOSS 4.3793
ITERATION 459.0000 | TOTAL G LOSS 3.9979
ITERATION 460.0000 | TOTAL G LOSS 2.2972
ITERATION 461.0000 | TOTAL G LOSS 2.3284
ITERATION 462.0000 | TOTAL G LOSS 2.7322
ITERATION 463.0000 | TOTAL G LOSS 1.0960
ITERATION 464.0000 | TOTAL G LOSS 1.2238
ITERATION 465.0000 | TOTAL G LOSS 3.6671
ITERATION 466.0000 | TOTAL G LOSS 2.4875
ITERATION 467.0000 | TOTAL G LOSS 0.7910
ITERATION 468.0000 | TOTAL G LOSS 2.2529
ITERATION 469.0000 | TOTAL G LOSS 2.8897
ITERATION 470.0000 | TOTAL G LOSS 3.6616
ITERATION 471.0000 | TOTAL G LOSS 2.0801
ITERATION 472.0000 | TOTAL G LOSS 0.2185
ITERATION 473.0000 | TOTAL G LOSS 1.9844
ITERATION 474.0000 | TOTAL G LOSS -0.7277
ITERATION 475.0000 | TOTAL G LOSS -0.3059
ITERATION 476.0000 | TOTAL G LOSS -0.5325
ITERATION 477.0000 | TOTAL G LOSS 2.3433
ITERATION 478.0000 | TOTAL G LOSS 0.5465
ITERATION 479.0000 | TOTAL G LOSS 1.8771
ITERATION 480.0000 | TOTAL G LOSS 1.5438
ITERATION 481.0000 | TOTAL G LOSS 1.3075
ITERATION 482.0000 | TOTAL G LOSS 0.6035
ITERATION 483.0000 | TOTAL G LOSS 2.1041
ITERATION 484.0000 | TOTAL G LOSS 2.3601
ITERATION 485.0000 | TOTAL G LOSS 1.2159
ITERATION 486.0000 | TOTAL G LOSS -1.3980
ITERATION 487.0000 | TOTAL G LOSS -1.0021
ITERATION 488.0000 | TOTAL G LOSS 1.3832
ITERATION 489.0000 | TOTAL G LOSS 1.5889
ITERATION 490.0000 | TOTAL G LOSS 2.6131
ITERATION 491.0000 | TOTAL G LOSS 0.7452
ITERATION 492.0000 | TOTAL G LOSS 1.4090
ITERATION 493.0000 | TOTAL G LOSS 1.3412
ITERATION 494.0000 | TOTAL G LOSS 0.8478
ITERATION 495.0000 | TOTAL G LOSS 0.3068
ITERATION 496.0000 | TOTAL G LOSS 1.7998
ITERATION 497.0000 | TOTAL G LOSS 0.7080
ITERATION 498.0000 | TOTAL G LOSS 0.3777
