Logging
iteration 8800 | D LOSS = 1.3792 | G LOSS = -0.0440 | AVG R =0.4961 | mean_pen: 0.0000 |  
iteration 8850 | D LOSS = 1.3780 | G LOSS = -0.0529 | AVG R =0.4961 | mean_pen: 0.0000 |  
iteration 8900 | D LOSS = 1.3777 | G LOSS = -0.0565 | AVG R =0.4960 | mean_pen: 0.0000 |  
iteration 8950 | D LOSS = 1.3787 | G LOSS = -0.0505 | AVG R =0.4961 | mean_pen: 0.0000 |  
iteration 9000 | D LOSS = 1.3790 | G LOSS = -0.0423 | AVG R =0.4959 | mean_pen: 0.0000 |  
iteration 9050 | D LOSS = 1.3781 | G LOSS = -0.0568 | AVG R =0.4967 | mean_pen: 0.0000 |  
iteration 9100 | D LOSS = 1.3783 | G LOSS = -0.0448 | AVG R =0.4961 | mean_pen: 0.0000 |  
iteration 9150 | D LOSS = 1.3781 | G LOSS = -0.0447 | AVG R =0.4965 | mean_pen: 0.0000 |  
iteration 9200 | D LOSS = 1.3781 | G LOSS = -0.0512 | AVG R =0.4956 | mean_pen: 0.0000 |  
iteration 9250 | D LOSS = 1.3786 | G LOSS = -0.0458 | AVG R =0.4960 | mean_pen: 0.0000 |  
iteration 9300 | D LOSS = 1.3792 | G LOSS = -0.0323 | AVG R =0.4966 | mean_pen: 0.0000 |  
iteration 9350 | D LOSS = 1.3786 | G LOSS = -0.0523 | AVG R =0.4959 | mean_pen: 0.0000 |  
iteration 9400 | D LOSS = 1.3783 | G LOSS = -0.0568 | AVG R =0.4960 | mean_pen: 0.0000 |  
iteration 9450 | D LOSS = 1.3773 | G LOSS = -0.0558 | AVG R =0.4966 | mean_pen: 0.0000 |  
iteration 9500 | D LOSS = 1.3787 | G LOSS = -0.0415 | AVG R =0.4960 | mean_pen: 0.0000 |  
iteration 9550 | D LOSS = 1.3775 | G LOSS = -0.0581 | AVG R =0.4958 | mean_pen: 0.0000 |  
iteration 9600 | D LOSS = 1.3781 | G LOSS = -0.0457 | AVG R =0.4963 | mean_pen: 0.0000 |  
iteration 9650 | D LOSS = 1.3767 | G LOSS = -0.0493 | AVG R =0.4961 | mean_pen: 0.0000 |  
iteration 9700 | D LOSS = 1.3790 | G LOSS = -0.0590 | AVG R =0.4957 | mean_pen: 0.0000 |  
iteration 9750 | D LOSS = 1.3776 | G LOSS = -0.0528 | AVG R =0.4959 | mean_pen: 0.0000 |  
iteration 9800 | D LOSS = 1.3791 | G LOSS = -0.0287 | AVG R =0.4956 | mean_pen: 0.0000 |  
iteration 9850 | D LOSS = 1.3782 | G LOSS = -0.0302 | AVG R =0.4964 | mean_pen: 0.0000 |  
iteration 9900 | D LOSS = 1.3775 | G LOSS = -0.0534 | AVG R =0.4955 | mean_pen: 0.0000 |  
iteration 9950 | D LOSS = 1.3778 | G LOSS = -0.0483 | AVG R =0.4956 | mean_pen: 0.0000 |  
iteration 10000 | D LOSS = 1.3778 | G LOSS = -0.0499 | AVG R =0.4965 | mean_pen: 0.0000 |  
iteration 10050 | D LOSS = 1.3773 | G LOSS = -0.0333 | AVG R =0.4961 | mean_pen: 0.0000 |  
iteration 10100 | D LOSS = 1.3798 | G LOSS = -0.0201 | AVG R =0.4960 | mean_pen: 0.0000 |  
iteration 10150 | D LOSS = 1.3769 | G LOSS = -0.0588 | AVG R =0.4957 | mean_pen: 0.0000 |  
iteration 10200 | D LOSS = 1.3770 | G LOSS = -0.0385 | AVG R =0.4955 | mean_pen: 0.0000 |  
iteration 10250 | D LOSS = 1.3752 | G LOSS = -0.0450 | AVG R =0.4950 | mean_pen: 0.0000 |  
iteration 10300 | D LOSS = 1.3786 | G LOSS = -0.0458 | AVG R =0.4961 | mean_pen: 0.0000 |  
iteration 10350 | D LOSS = 1.3766 | G LOSS = -0.0368 | AVG R =0.4956 | mean_pen: 0.0000 |  
iteration 10400 | D LOSS = 1.3774 | G LOSS = -0.0580 | AVG R =0.4954 | mean_pen: 0.0000 |  
iteration 10450 | D LOSS = 1.3774 | G LOSS = -0.0307 | AVG R =0.4950 | mean_pen: 0.0000 |  
iteration 10500 | D LOSS = 1.3761 | G LOSS = -0.0469 | AVG R =0.4950 | mean_pen: 0.0000 |  
