Logging
ITERATION 342.0000 | TOTAL G LOSS 0.4761
ITERATION 343.0000 | TOTAL G LOSS 0.7691
ITERATION 344.0000 | TOTAL G LOSS -2.0700
ITERATION 345.0000 | TOTAL G LOSS -2.7426
ITERATION 346.0000 | TOTAL G LOSS -0.2979
ITERATION 347.0000 | TOTAL G LOSS 0.1395
ITERATION 348.0000 | TOTAL G LOSS 0.5110
ITERATION 349.0000 | TOTAL G LOSS -1.3071
ITERATION 350.0000 | TOTAL G LOSS -0.7018
ITERATION 351.0000 | TOTAL G LOSS -1.5165
ITERATION 352.0000 | TOTAL G LOSS -0.7454
ITERATION 353.0000 | TOTAL G LOSS -1.7048
ITERATION 354.0000 | TOTAL G LOSS -0.0776
ITERATION 355.0000 | TOTAL G LOSS 1.5682
ITERATION 356.0000 | TOTAL G LOSS 0.1832
ITERATION 357.0000 | TOTAL G LOSS -1.1967
ITERATION 358.0000 | TOTAL G LOSS -0.5354
ITERATION 359.0000 | TOTAL G LOSS 1.8839
ITERATION 360.0000 | TOTAL G LOSS 1.4266
ITERATION 361.0000 | TOTAL G LOSS -0.5780
ITERATION 362.0000 | TOTAL G LOSS -0.2165
ITERATION 363.0000 | TOTAL G LOSS -1.2105
ITERATION 364.0000 | TOTAL G LOSS -0.0075
ITERATION 365.0000 | TOTAL G LOSS -0.2191
ITERATION 366.0000 | TOTAL G LOSS -2.4236
ITERATION 367.0000 | TOTAL G LOSS 0.2316
ITERATION 368.0000 | TOTAL G LOSS 0.2454
ITERATION 369.0000 | TOTAL G LOSS 0.3250
ITERATION 370.0000 | TOTAL G LOSS 1.6114
ITERATION 371.0000 | TOTAL G LOSS -1.3853
ITERATION 372.0000 | TOTAL G LOSS 0.5229
ITERATION 373.0000 | TOTAL G LOSS 2.7608
ITERATION 374.0000 | TOTAL G LOSS -0.2090
ITERATION 375.0000 | TOTAL G LOSS -0.5491
ITERATION 376.0000 | TOTAL G LOSS 0.4454
ITERATION 377.0000 | TOTAL G LOSS 0.1154
ITERATION 378.0000 | TOTAL G LOSS -0.7645
ITERATION 379.0000 | TOTAL G LOSS -0.0834
ITERATION 380.0000 | TOTAL G LOSS 1.3406
ITERATION 381.0000 | TOTAL G LOSS 0.9034
ITERATION 382.0000 | TOTAL G LOSS 0.2340
ITERATION 383.0000 | TOTAL G LOSS -0.3464
ITERATION 384.0000 | TOTAL G LOSS 0.0204
ITERATION 385.0000 | TOTAL G LOSS -1.4811
ITERATION 386.0000 | TOTAL G LOSS 0.4535
ITERATION 387.0000 | TOTAL G LOSS 0.7178
ITERATION 388.0000 | TOTAL G LOSS -0.7796
ITERATION 389.0000 | TOTAL G LOSS 0.4556
ITERATION 390.0000 | TOTAL G LOSS 0.5245
ITERATION 391.0000 | TOTAL G LOSS -0.3317
ITERATION 392.0000 | TOTAL G LOSS 1.4796
ITERATION 393.0000 | TOTAL G LOSS -0.5940
ITERATION 394.0000 | TOTAL G LOSS -0.2565
ITERATION 395.0000 | TOTAL G LOSS -0.4331
ITERATION 396.0000 | TOTAL G LOSS -1.0755
ITERATION 397.0000 | TOTAL G LOSS 1.3011
ITERATION 398.0000 | TOTAL G LOSS 0.3291
ITERATION 399.0000 | TOTAL G LOSS 2.7983
ITERATION 400.0000 | TOTAL G LOSS -0.5887
ITERATION 401.0000 | TOTAL G LOSS -0.2186
ITERATION 402.0000 | TOTAL G LOSS -1.3068
ITERATION 403.0000 | TOTAL G LOSS 0.8054
ITERATION 404.0000 | TOTAL G LOSS 0.5593
ITERATION 405.0000 | TOTAL G LOSS 0.8115
ITERATION 406.0000 | TOTAL G LOSS -1.5734
ITERATION 407.0000 | TOTAL G LOSS -0.4069
ITERATION 408.0000 | TOTAL G LOSS -2.6455
ITERATION 409.0000 | TOTAL G LOSS 0.2984
ITERATION 410.0000 | TOTAL G LOSS -1.2080
ITERATION 411.0000 | TOTAL G LOSS 0.3354
ITERATION 412.0000 | TOTAL G LOSS 0.1834
ITERATION 413.0000 | TOTAL G LOSS -0.3164
ITERATION 414.0000 | TOTAL G LOSS -0.8069
ITERATION 415.0000 | TOTAL G LOSS 0.1988
ITERATION 416.0000 | TOTAL G LOSS 0.4711
ITERATION 417.0000 | TOTAL G LOSS -0.1255
ITERATION 418.0000 | TOTAL G LOSS -0.4035
ITERATION 419.0000 | TOTAL G LOSS -0.0369
ITERATION 420.0000 | TOTAL G LOSS -0.3427
ITERATION 421.0000 | TOTAL G LOSS 0.6242
ITERATION 422.0000 | TOTAL G LOSS 0.5911
ITERATION 423.0000 | TOTAL G LOSS 1.0923
ITERATION 424.0000 | TOTAL G LOSS -0.5760
ITERATION 425.0000 | TOTAL G LOSS -0.3846
ITERATION 426.0000 | TOTAL G LOSS -0.1734
ITERATION 427.0000 | TOTAL G LOSS 0.9442
ITERATION 428.0000 | TOTAL G LOSS 0.0002
ITERATION 429.0000 | TOTAL G LOSS 0.7040
ITERATION 430.0000 | TOTAL G LOSS 0.7944
ITERATION 431.0000 | TOTAL G LOSS 0.5638
ITERATION 432.0000 | TOTAL G LOSS -0.4674
ITERATION 433.0000 | TOTAL G LOSS 1.0348
ITERATION 434.0000 | TOTAL G LOSS 0.4539
ITERATION 435.0000 | TOTAL G LOSS 2.0680
ITERATION 436.0000 | TOTAL G LOSS 1.2498
ITERATION 437.0000 | TOTAL G LOSS 0.6642
ITERATION 438.0000 | TOTAL G LOSS 0.9364
ITERATION 439.0000 | TOTAL G LOSS 0.5606
ITERATION 440.0000 | TOTAL G LOSS 2.4686
ITERATION 441.0000 | TOTAL G LOSS 2.3984
ITERATION 442.0000 | TOTAL G LOSS 0.7150
ITERATION 443.0000 | TOTAL G LOSS 1.6112
ITERATION 444.0000 | TOTAL G LOSS 0.4321
ITERATION 445.0000 | TOTAL G LOSS 0.5067
ITERATION 446.0000 | TOTAL G LOSS 1.7924
ITERATION 447.0000 | TOTAL G LOSS -0.4397
ITERATION 448.0000 | TOTAL G LOSS -0.9627
ITERATION 449.0000 | TOTAL G LOSS 0.0354
ITERATION 450.0000 | TOTAL G LOSS 0.4592
ITERATION 451.0000 | TOTAL G LOSS -0.9004
ITERATION 452.0000 | TOTAL G LOSS 1.0025
ITERATION 453.0000 | TOTAL G LOSS -0.6921
ITERATION 454.0000 | TOTAL G LOSS -0.0497
ITERATION 455.0000 | TOTAL G LOSS -0.8769
ITERATION 456.0000 | TOTAL G LOSS 0.2560
ITERATION 457.0000 | TOTAL G LOSS 0.4729
ITERATION 458.0000 | TOTAL G LOSS -1.3761
ITERATION 459.0000 | TOTAL G LOSS -1.2201
ITERATION 460.0000 | TOTAL G LOSS -0.1402
ITERATION 461.0000 | TOTAL G LOSS -0.6619
ITERATION 462.0000 | TOTAL G LOSS -0.0959
ITERATION 463.0000 | TOTAL G LOSS 0.5961
ITERATION 464.0000 | TOTAL G LOSS 0.6037
ITERATION 465.0000 | TOTAL G LOSS 0.7826
ITERATION 466.0000 | TOTAL G LOSS -0.0773
ITERATION 467.0000 | TOTAL G LOSS 0.9854
ITERATION 468.0000 | TOTAL G LOSS -0.7562
ITERATION 469.0000 | TOTAL G LOSS -0.2873
ITERATION 470.0000 | TOTAL G LOSS 1.2751
ITERATION 471.0000 | TOTAL G LOSS -0.3171
ITERATION 472.0000 | TOTAL G LOSS -1.1004
ITERATION 473.0000 | TOTAL G LOSS 0.9794
