Logging
iteration 13100 | D LOSS = 1.3511 | G LOSS = -0.7096 | AVG R =0.4812 |  
iteration 13150 | D LOSS = 1.3535 | G LOSS = -0.9345 | AVG R =0.4807 |  
iteration 13200 | D LOSS = 1.3514 | G LOSS = 0.4614 | AVG R =0.4822 |  
iteration 13250 | D LOSS = 1.3508 | G LOSS = -0.0923 | AVG R =0.4826 |  
iteration 13300 | D LOSS = 1.3503 | G LOSS = 0.3120 | AVG R =0.4830 |  
iteration 13350 | D LOSS = 1.3524 | G LOSS = -1.4353 | AVG R =0.4827 |  
iteration 13400 | D LOSS = 1.3513 | G LOSS = -2.6518 | AVG R =0.4817 |  
iteration 13450 | D LOSS = 1.3505 | G LOSS = -0.1004 | AVG R =0.4829 |  
iteration 13500 | D LOSS = 1.3498 | G LOSS = -0.2588 | AVG R =0.4825 |  
iteration 13550 | D LOSS = 1.3495 | G LOSS = -0.2892 | AVG R =0.4823 |  
iteration 13600 | D LOSS = 1.3497 | G LOSS = -1.2210 | AVG R =0.4825 |  
iteration 13650 | D LOSS = 1.3485 | G LOSS = 0.3621 | AVG R =0.4828 |  
iteration 13700 | D LOSS = 1.3496 | G LOSS = -1.5255 | AVG R =0.4830 |  
iteration 13750 | D LOSS = 1.3509 | G LOSS = -1.3145 | AVG R =0.4824 |  
iteration 13800 | D LOSS = 1.3517 | G LOSS = 0.7712 | AVG R =0.4829 |  
iteration 13850 | D LOSS = 1.3507 | G LOSS = -0.6858 | AVG R =0.4816 |  
iteration 13900 | D LOSS = 1.3471 | G LOSS = -1.8135 | AVG R =0.4825 |  
iteration 13950 | D LOSS = 1.3492 | G LOSS = 0.5167 | AVG R =0.4818 |  
iteration 14000 | D LOSS = 1.3524 | G LOSS = -1.4695 | AVG R =0.4828 |  
iteration 14050 | D LOSS = 1.3518 | G LOSS = 0.3795 | AVG R =0.4829 |  
iteration 14100 | D LOSS = 1.3506 | G LOSS = -0.0018 | AVG R =0.4823 |  
iteration 14150 | D LOSS = 1.3518 | G LOSS = -2.4706 | AVG R =0.4821 |  
iteration 14200 | D LOSS = 1.3512 | G LOSS = -1.4363 | AVG R =0.4822 |  
iteration 14250 | D LOSS = 1.3508 | G LOSS = 0.5102 | AVG R =0.4830 |  
