Logging
ITERATION 282.0000 | TOTAL G LOSS 0.0915
ITERATION 283.0000 | TOTAL G LOSS -0.0321
ITERATION 284.0000 | TOTAL G LOSS 0.1225
ITERATION 285.0000 | TOTAL G LOSS 1.7676
ITERATION 286.0000 | TOTAL G LOSS -0.1235
ITERATION 287.0000 | TOTAL G LOSS 1.2427
ITERATION 288.0000 | TOTAL G LOSS 1.7283
ITERATION 289.0000 | TOTAL G LOSS 4.7606
ITERATION 290.0000 | TOTAL G LOSS 2.4982
ITERATION 291.0000 | TOTAL G LOSS 3.1590
ITERATION 292.0000 | TOTAL G LOSS 1.9058
ITERATION 293.0000 | TOTAL G LOSS 3.8728
ITERATION 294.0000 | TOTAL G LOSS 1.3496
ITERATION 295.0000 | TOTAL G LOSS 1.2356
ITERATION 296.0000 | TOTAL G LOSS -0.4652
ITERATION 297.0000 | TOTAL G LOSS 0.1690
ITERATION 298.0000 | TOTAL G LOSS 0.9424
ITERATION 299.0000 | TOTAL G LOSS 1.3134
ITERATION 300.0000 | TOTAL G LOSS 1.0893
ITERATION 301.0000 | TOTAL G LOSS -0.1672
ITERATION 302.0000 | TOTAL G LOSS 1.9408
ITERATION 303.0000 | TOTAL G LOSS -0.8668
ITERATION 304.0000 | TOTAL G LOSS 0.8415
ITERATION 305.0000 | TOTAL G LOSS -0.1539
ITERATION 306.0000 | TOTAL G LOSS -0.4996
ITERATION 307.0000 | TOTAL G LOSS 0.4336
ITERATION 308.0000 | TOTAL G LOSS 0.5110
ITERATION 309.0000 | TOTAL G LOSS 0.6770
ITERATION 310.0000 | TOTAL G LOSS -0.7389
ITERATION 311.0000 | TOTAL G LOSS -1.3043
ITERATION 312.0000 | TOTAL G LOSS 0.9271
ITERATION 313.0000 | TOTAL G LOSS 0.5799
ITERATION 314.0000 | TOTAL G LOSS 1.6225
ITERATION 315.0000 | TOTAL G LOSS 0.9180
ITERATION 316.0000 | TOTAL G LOSS 0.4569
ITERATION 317.0000 | TOTAL G LOSS 1.8561
ITERATION 318.0000 | TOTAL G LOSS 1.5177
ITERATION 319.0000 | TOTAL G LOSS 0.4079
ITERATION 320.0000 | TOTAL G LOSS 0.2244
ITERATION 321.0000 | TOTAL G LOSS 1.2840
ITERATION 322.0000 | TOTAL G LOSS 0.9093
ITERATION 323.0000 | TOTAL G LOSS 1.7544
ITERATION 324.0000 | TOTAL G LOSS 1.7167
ITERATION 325.0000 | TOTAL G LOSS -0.5254
ITERATION 326.0000 | TOTAL G LOSS -1.6292
ITERATION 327.0000 | TOTAL G LOSS 0.0525
ITERATION 328.0000 | TOTAL G LOSS -0.3392
ITERATION 329.0000 | TOTAL G LOSS -1.5156
ITERATION 330.0000 | TOTAL G LOSS 1.1442
ITERATION 331.0000 | TOTAL G LOSS -1.1918
ITERATION 332.0000 | TOTAL G LOSS -0.5909
ITERATION 333.0000 | TOTAL G LOSS -0.0926
ITERATION 334.0000 | TOTAL G LOSS 0.3949
ITERATION 335.0000 | TOTAL G LOSS -0.5859
ITERATION 336.0000 | TOTAL G LOSS 0.4282
ITERATION 337.0000 | TOTAL G LOSS -0.6300
ITERATION 338.0000 | TOTAL G LOSS -2.8931
ITERATION 339.0000 | TOTAL G LOSS -0.4968
ITERATION 340.0000 | TOTAL G LOSS -1.1623
ITERATION 341.0000 | TOTAL G LOSS 1.2460
ITERATION 342.0000 | TOTAL G LOSS -0.2078
ITERATION 343.0000 | TOTAL G LOSS 0.9389
ITERATION 344.0000 | TOTAL G LOSS -1.0965
ITERATION 345.0000 | TOTAL G LOSS -0.2049
ITERATION 346.0000 | TOTAL G LOSS 0.6384
ITERATION 347.0000 | TOTAL G LOSS 2.9243
ITERATION 348.0000 | TOTAL G LOSS 1.0479
ITERATION 349.0000 | TOTAL G LOSS -0.6114
ITERATION 350.0000 | TOTAL G LOSS 2.0461
ITERATION 351.0000 | TOTAL G LOSS -1.3736
ITERATION 352.0000 | TOTAL G LOSS 1.0386
ITERATION 353.0000 | TOTAL G LOSS -0.9660
ITERATION 354.0000 | TOTAL G LOSS 0.5955
ITERATION 355.0000 | TOTAL G LOSS 0.1692
ITERATION 356.0000 | TOTAL G LOSS 2.2847
ITERATION 357.0000 | TOTAL G LOSS -0.2454
ITERATION 358.0000 | TOTAL G LOSS 1.5526
ITERATION 359.0000 | TOTAL G LOSS -0.8071
ITERATION 360.0000 | TOTAL G LOSS 0.3180
ITERATION 361.0000 | TOTAL G LOSS 1.4178
ITERATION 362.0000 | TOTAL G LOSS 0.1612
ITERATION 363.0000 | TOTAL G LOSS 1.3514
ITERATION 364.0000 | TOTAL G LOSS -0.0508
ITERATION 365.0000 | TOTAL G LOSS -0.9885
ITERATION 366.0000 | TOTAL G LOSS -1.1119
ITERATION 367.0000 | TOTAL G LOSS 0.9600
ITERATION 368.0000 | TOTAL G LOSS 0.5663
ITERATION 369.0000 | TOTAL G LOSS 1.8463
ITERATION 370.0000 | TOTAL G LOSS 1.4159
ITERATION 371.0000 | TOTAL G LOSS 1.1753
ITERATION 372.0000 | TOTAL G LOSS 0.5848
ITERATION 373.0000 | TOTAL G LOSS 0.9710
ITERATION 374.0000 | TOTAL G LOSS -0.4032
ITERATION 375.0000 | TOTAL G LOSS 2.1286
ITERATION 376.0000 | TOTAL G LOSS 1.5066
ITERATION 377.0000 | TOTAL G LOSS -0.5844
ITERATION 378.0000 | TOTAL G LOSS -0.4688
ITERATION 379.0000 | TOTAL G LOSS -0.1609
ITERATION 380.0000 | TOTAL G LOSS 0.0584
ITERATION 381.0000 | TOTAL G LOSS 0.3388
ITERATION 382.0000 | TOTAL G LOSS 1.2158
ITERATION 383.0000 | TOTAL G LOSS -0.2157
ITERATION 384.0000 | TOTAL G LOSS -0.1008
ITERATION 385.0000 | TOTAL G LOSS -0.7184
ITERATION 386.0000 | TOTAL G LOSS -0.5688
ITERATION 387.0000 | TOTAL G LOSS 0.5860
ITERATION 388.0000 | TOTAL G LOSS 0.5321
ITERATION 389.0000 | TOTAL G LOSS 0.7805
ITERATION 390.0000 | TOTAL G LOSS -1.1471
ITERATION 391.0000 | TOTAL G LOSS -0.6972
ITERATION 392.0000 | TOTAL G LOSS -0.3899
ITERATION 393.0000 | TOTAL G LOSS -1.6724
ITERATION 394.0000 | TOTAL G LOSS -1.1413
ITERATION 395.0000 | TOTAL G LOSS 0.7429
ITERATION 396.0000 | TOTAL G LOSS -1.1181
ITERATION 397.0000 | TOTAL G LOSS 1.0586
ITERATION 398.0000 | TOTAL G LOSS -0.7261
ITERATION 399.0000 | TOTAL G LOSS 0.4939
ITERATION 400.0000 | TOTAL G LOSS 0.3716
ITERATION 401.0000 | TOTAL G LOSS 1.2375
ITERATION 402.0000 | TOTAL G LOSS -0.3027
ITERATION 403.0000 | TOTAL G LOSS -0.0580
ITERATION 404.0000 | TOTAL G LOSS -1.3954
ITERATION 405.0000 | TOTAL G LOSS -0.8791
ITERATION 406.0000 | TOTAL G LOSS -0.2200
ITERATION 407.0000 | TOTAL G LOSS 0.3701
ITERATION 408.0000 | TOTAL G LOSS -0.0291
ITERATION 409.0000 | TOTAL G LOSS 0.6308
ITERATION 410.0000 | TOTAL G LOSS 0.9427
