Logging
iteration 10800 | D LOSS = 1.3773 | G LOSS = -0.0249 | AVG R =0.4957 | mean_pen: 0.0001 |  
iteration 10850 | D LOSS = 1.3774 | G LOSS = -0.0271 | AVG R =0.4951 | mean_pen: 0.0001 |  
iteration 10900 | D LOSS = 1.3774 | G LOSS = -0.0261 | AVG R =0.4958 | mean_pen: 0.0002 |  
iteration 10950 | D LOSS = 1.3785 | G LOSS = -0.0155 | AVG R =0.4950 | mean_pen: 0.0001 |  
iteration 11000 | D LOSS = 1.3771 | G LOSS = -0.0131 | AVG R =0.4957 | mean_pen: 0.0002 |  
iteration 11050 | D LOSS = 1.3777 | G LOSS = -0.0198 | AVG R =0.4954 | mean_pen: 0.0001 |  
iteration 11100 | D LOSS = 1.3783 | G LOSS = -0.0175 | AVG R =0.4954 | mean_pen: 0.0001 |  
iteration 11150 | D LOSS = 1.3780 | G LOSS = -0.0248 | AVG R =0.4956 | mean_pen: 0.0001 |  
iteration 11200 | D LOSS = 1.3773 | G LOSS = -0.0252 | AVG R =0.4956 | mean_pen: 0.0001 |  
iteration 11250 | D LOSS = 1.3774 | G LOSS = -0.0240 | AVG R =0.4960 | mean_pen: 0.0001 |  
iteration 11300 | D LOSS = 1.3781 | G LOSS = -0.0158 | AVG R =0.4956 | mean_pen: 0.0001 |  
iteration 11350 | D LOSS = 1.3776 | G LOSS = -0.0166 | AVG R =0.4961 | mean_pen: 0.0002 |  
iteration 11400 | D LOSS = 1.3776 | G LOSS = -0.0115 | AVG R =0.4958 | mean_pen: 0.0001 |  
iteration 11450 | D LOSS = 1.3776 | G LOSS = -0.0412 | AVG R =0.4958 | mean_pen: 0.0001 |  
iteration 11500 | D LOSS = 1.3777 | G LOSS = -0.0433 | AVG R =0.4957 | mean_pen: 0.0001 |  
iteration 11550 | D LOSS = 1.3769 | G LOSS = -0.0267 | AVG R =0.4957 | mean_pen: 0.0001 |  
iteration 11600 | D LOSS = 1.3768 | G LOSS = -0.0284 | AVG R =0.4957 | mean_pen: 0.0001 |  
