Logging
iteration 12650 | D LOSS = 1.2199 | G LOSS = 0.9048 | mean_pen: 0.0000 |  
iteration 12700 | D LOSS = 1.1768 | G LOSS = 0.9076 | mean_pen: 0.0000 |  
iteration 12750 | D LOSS = 1.2094 | G LOSS = 0.9038 | mean_pen: 0.0000 |  
iteration 12800 | D LOSS = 1.2204 | G LOSS = 0.9037 | mean_pen: 0.0000 |  
iteration 12850 | D LOSS = 1.1815 | G LOSS = 0.9010 | mean_pen: 0.0000 |  
iteration 12900 | D LOSS = 1.2382 | G LOSS = 0.8987 | mean_pen: 0.0000 |  
iteration 12950 | D LOSS = 1.1990 | G LOSS = 0.9132 | mean_pen: 0.0000 |  
iteration 13000 | D LOSS = 1.1749 | G LOSS = 0.8940 | mean_pen: 0.0000 |  
iteration 13050 | D LOSS = 1.1827 | G LOSS = 0.9105 | mean_pen: 0.0000 |  
iteration 13100 | D LOSS = 1.1796 | G LOSS = 0.9060 | mean_pen: 0.0000 |  
iteration 13150 | D LOSS = 1.1754 | G LOSS = 0.9048 | mean_pen: 0.0000 |  
iteration 13200 | D LOSS = 1.1751 | G LOSS = 0.9041 | mean_pen: 0.0000 |  
iteration 13250 | D LOSS = 1.1953 | G LOSS = 0.9101 | mean_pen: 0.0000 |  
iteration 13300 | D LOSS = 1.2088 | G LOSS = 0.9025 | mean_pen: 0.0000 |  
iteration 13350 | D LOSS = 1.1782 | G LOSS = 0.9122 | mean_pen: 0.0000 |  
iteration 13400 | D LOSS = 1.1944 | G LOSS = 0.9097 | mean_pen: 0.0000 |  
iteration 13450 | D LOSS = 1.2115 | G LOSS = 0.9161 | mean_pen: 0.0000 |  
iteration 13500 | D LOSS = 1.1517 | G LOSS = 0.8987 | mean_pen: 0.0000 |  
iteration 13550 | D LOSS = 1.1832 | G LOSS = 0.9113 | mean_pen: 0.0000 |  
iteration 13600 | D LOSS = 1.1776 | G LOSS = 0.9053 | mean_pen: 0.0000 |  
iteration 13650 | D LOSS = 1.1949 | G LOSS = 0.9082 | mean_pen: 0.0000 |  
iteration 13700 | D LOSS = 1.1955 | G LOSS = 0.9109 | mean_pen: 0.0000 |  
iteration 13750 | D LOSS = 1.1958 | G LOSS = 0.9126 | mean_pen: 0.0000 |  
iteration 13800 | D LOSS = 1.1904 | G LOSS = 0.9152 | mean_pen: 0.0000 |  
iteration 13850 | D LOSS = 1.2261 | G LOSS = 0.9021 | mean_pen: 0.0000 |  
iteration 13900 | D LOSS = 1.1785 | G LOSS = 0.9074 | mean_pen: 0.0000 |  
iteration 13950 | D LOSS = 1.1815 | G LOSS = 0.9005 | mean_pen: 0.0000 |  
iteration 14000 | D LOSS = 1.1912 | G LOSS = 0.9110 | mean_pen: 0.0000 |  
iteration 14050 | D LOSS = 1.1635 | G LOSS = 0.9139 | mean_pen: 0.0000 |  
iteration 14100 | D LOSS = 1.1813 | G LOSS = 0.9063 | mean_pen: 0.0000 |  
