Logging
iteration 6500 | D LOSS = 1.3484 | G LOSS = 0.1065 | AVG R =0.4807 | mean_pen: 0.0004 |  
iteration 6550 | D LOSS = 1.3506 | G LOSS = 0.1016 | AVG R =0.4815 | mean_pen: 0.0004 |  
iteration 6600 | D LOSS = 1.3504 | G LOSS = 0.1165 | AVG R =0.4815 | mean_pen: 0.0003 |  
iteration 6650 | D LOSS = 1.3493 | G LOSS = 0.1052 | AVG R =0.4818 | mean_pen: 0.0003 |  
iteration 6700 | D LOSS = 1.3502 | G LOSS = 0.1126 | AVG R =0.4819 | mean_pen: 0.0003 |  
iteration 6750 | D LOSS = 1.3517 | G LOSS = 0.0711 | AVG R =0.4818 | mean_pen: 0.0003 |  
iteration 6800 | D LOSS = 1.3503 | G LOSS = 0.0880 | AVG R =0.4816 | mean_pen: 0.0004 |  
iteration 6850 | D LOSS = 1.3513 | G LOSS = 0.0793 | AVG R =0.4820 | mean_pen: 0.0003 |  
iteration 6900 | D LOSS = 1.3502 | G LOSS = 0.0747 | AVG R =0.4812 | mean_pen: 0.0003 |  
iteration 6950 | D LOSS = 1.3493 | G LOSS = 0.0335 | AVG R =0.4808 | mean_pen: 0.0002 |  
iteration 7000 | D LOSS = 1.3507 | G LOSS = 0.0438 | AVG R =0.4820 | mean_pen: 0.0003 |  
iteration 7050 | D LOSS = 1.3485 | G LOSS = 0.0495 | AVG R =0.4825 | mean_pen: 0.0003 |  
iteration 7100 | D LOSS = 1.3508 | G LOSS = 0.0542 | AVG R =0.4818 | mean_pen: 0.0003 |  
iteration 7150 | D LOSS = 1.3485 | G LOSS = 0.0588 | AVG R =0.4809 | mean_pen: 0.0003 |  
iteration 7200 | D LOSS = 1.3491 | G LOSS = 0.0400 | AVG R =0.4810 | mean_pen: 0.0003 |  
iteration 7250 | D LOSS = 1.3463 | G LOSS = 0.1038 | AVG R =0.4812 | mean_pen: 0.0003 |  
iteration 7300 | D LOSS = 1.3478 | G LOSS = 0.0673 | AVG R =0.4820 | mean_pen: 0.0003 |  
iteration 7350 | D LOSS = 1.3479 | G LOSS = 0.0333 | AVG R =0.4812 | mean_pen: 0.0003 |  
iteration 7400 | D LOSS = 1.3479 | G LOSS = 0.0275 | AVG R =0.4815 | mean_pen: 0.0003 |  
