tag,iters,data_size,seed,cwc,r2r_auc,r2r_acc,s2h_auc,s2h_acc,s2r_auc,s2r_acc,r2s_auc,r2s_acc,rvs_auc,rvs_acc,real_mem_auc,real_mem_auc_bal,synth_mem_auc,synth_mem_auc_bal,elapsed_time
ehr_trial0_seed2,2500,0.9,2,683.8957592356813,0.8765925089588122,0.8050751528958248,0.7807870285270976,0.7316237402015677,0.9170216718344312,0.8356885545620031,0.8344655981431256,0.768,1.0,1.0,1.0,0.9069767441860463,0.6217189866990729,0.606881539719929,3.935482903321584
ehr_trial0_seed3,2500,0.9,3,677.1987381819679,0.8654651173253688,0.8072943242211711,0.825475746489435,0.7931034482758621,0.9156746523593737,0.8473128764453419,0.839700980392157,0.7774,1.0,0.9998898071625344,1.0,0.8919540229885059,0.5655354550905922,0.5756348262650284,3.609613899389903
ehr_trial0_seed4,2500,0.9,4,663.3317120764987,0.8627252124199274,0.7981288807517424,0.8025036128628023,0.7124085684430511,0.9275490160452163,0.8597438419084877,0.8328092740811442,0.7644,1.0,0.9998897464167585,1.0,0.9041095890410958,0.6124920768067944,0.6174469881778946,3.6674675623575848
ehr_trial0_seed5,2500,0.9,5,672.5451586901005,0.8664849072599177,0.8040733142331888,0.837899526320579,0.8100812231247014,0.9237412480020254,0.851776085573721,0.8130946819882452,0.7581999999999999,1.0,0.999779553579293,1.0,0.9082969432314411,0.6507974062484276,0.651560801662821,4.195398875077566
ehr_trial0_seed6,2500,0.9,6,666.3646607226133,0.8648276468656799,0.7991112337655778,0.7986843931782126,0.7037983755375059,0.9183120805298527,0.8378539940814983,0.8184689133841678,0.7592,1.0,0.9998898071625344,1.0,0.8845315904139434,0.5392472067024183,0.5476336261931546,3.592077620824178
ehr_trial0_seed7,2500,0.9,7,681.7813604176786,0.8756561111940215,0.8059880649986251,0.8075312943359162,0.7605128205128204,0.9169496401392271,0.8427002808725069,0.8293850267379679,0.7694,1.0,0.9998898071625344,1.0,0.902439024390244,0.6800588890950984,0.6884209025521015,3.952546572685242
ehr_trial0_seed8,2500,0.9,8,662.2545917022184,0.8726480628756587,0.8107397705102011,0.740926256318763,0.7035135703766042,0.9164833598023557,0.8393934982181449,0.8189384729617883,0.7670000000000001,1.0,0.9998898071625344,0.9999999999999999,0.8997955010224947,0.6054505949061164,0.6011705370920998,3.491964638233185
ehr_trial0_seed9,2500,0.9,9,668.7309946680343,0.8743583233447083,0.7934205580353566,0.7892316017316018,0.7387895812053116,0.920525161675313,0.8469215880295067,0.8383228511661661,0.7764000000000001,1.0,0.999779553579293,1.0,0.867117117117117,0.5089531566748767,0.5055621499878257,4.094435691833496
ehr_trial16_seed0,5000,0.9,0,651.9216039906946,0.8734515411356998,0.8136716856729374,0.8314509894867038,0.7830148112756808,0.9200914352188059,0.8477246715867197,0.8382701439002261,0.7818,1.0,0.999779553579293,1.0,0.8728070175438597,0.5877872747907504,0.5710771583564174,4.45352523724238
ehr_trial16_seed1,5000,0.9,1,667.8848876903359,0.8714615022660344,0.8038536220980095,0.8013668841255048,0.7495408734602463,0.9179394072020355,0.8383457314891454,0.8157715597475205,0.7618,1.0,0.9998898071625344,1.0,0.9002123142250531,0.6047960770430153,0.5984466352026903,3.76776762008667
