Logging
iteration 7700 | D LOSS = 1.3755 | G LOSS = 0.7050 | mean_pen: 0.0002 |  
iteration 7750 | D LOSS = 1.3726 | G LOSS = 0.7062 | mean_pen: 0.0001 |  
iteration 7800 | D LOSS = 1.3770 | G LOSS = 0.7022 | mean_pen: 0.0001 |  
iteration 7850 | D LOSS = 1.3740 | G LOSS = 0.7048 | mean_pen: 0.0001 |  
iteration 7900 | D LOSS = 1.3736 | G LOSS = 0.7020 | mean_pen: 0.0001 |  
iteration 7950 | D LOSS = 1.3757 | G LOSS = 0.7054 | mean_pen: 0.0001 |  
iteration 8000 | D LOSS = 1.3741 | G LOSS = 0.7053 | mean_pen: 0.0001 |  
iteration 8050 | D LOSS = 1.3773 | G LOSS = 0.7069 | mean_pen: 0.0001 |  
iteration 8100 | D LOSS = 1.3755 | G LOSS = 0.7017 | mean_pen: 0.0001 |  
iteration 8150 | D LOSS = 1.3725 | G LOSS = 0.7026 | mean_pen: 0.0001 |  
iteration 8200 | D LOSS = 1.3756 | G LOSS = 0.7040 | mean_pen: 0.0001 |  
iteration 8250 | D LOSS = 1.3753 | G LOSS = 0.7043 | mean_pen: 0.0001 |  
iteration 8300 | D LOSS = 1.3771 | G LOSS = 0.7042 | mean_pen: 0.0001 |  
iteration 8350 | D LOSS = 1.3764 | G LOSS = 0.7050 | mean_pen: 0.0001 |  
iteration 8400 | D LOSS = 1.3767 | G LOSS = 0.7037 | mean_pen: 0.0001 |  
iteration 8450 | D LOSS = 1.3746 | G LOSS = 0.7007 | mean_pen: 0.0001 |  
iteration 8500 | D LOSS = 1.3786 | G LOSS = 0.7031 | mean_pen: 0.0001 |  
iteration 8550 | D LOSS = 1.3757 | G LOSS = 0.7031 | mean_pen: 0.0001 |  
iteration 8600 | D LOSS = 1.3757 | G LOSS = 0.7037 | mean_pen: 0.0001 |  
iteration 8650 | D LOSS = 1.3764 | G LOSS = 0.7037 | mean_pen: 0.0001 |  
iteration 8700 | D LOSS = 1.3766 | G LOSS = 0.7039 | mean_pen: 0.0001 |  
iteration 8750 | D LOSS = 1.3759 | G LOSS = 0.7031 | mean_pen: 0.0001 |  
iteration 8800 | D LOSS = 1.3768 | G LOSS = 0.7011 | mean_pen: 0.0001 |  
iteration 8850 | D LOSS = 1.3760 | G LOSS = 0.7017 | mean_pen: 0.0001 |  
iteration 8900 | D LOSS = 1.3778 | G LOSS = 0.7055 | mean_pen: 0.0001 |  
iteration 8950 | D LOSS = 1.3745 | G LOSS = 0.7038 | mean_pen: 0.0002 |  
iteration 9000 | D LOSS = 1.3769 | G LOSS = 0.7048 | mean_pen: 0.0002 |  
iteration 9050 | D LOSS = 1.3787 | G LOSS = 0.7027 | mean_pen: 0.0002 |  
iteration 9100 | D LOSS = 1.3784 | G LOSS = 0.7008 | mean_pen: 0.0001 |  
iteration 9150 | D LOSS = 1.3749 | G LOSS = 0.7030 | mean_pen: 0.0001 |  
iteration 9200 | D LOSS = 1.3783 | G LOSS = 0.7018 | mean_pen: 0.0001 |  
iteration 9250 | D LOSS = 1.3764 | G LOSS = 0.7010 | mean_pen: 0.0001 |  
iteration 9300 | D LOSS = 1.3772 | G LOSS = 0.6993 | mean_pen: 0.0001 |  
iteration 9350 | D LOSS = 1.3787 | G LOSS = 0.7009 | mean_pen: 0.0001 |  
iteration 9400 | D LOSS = 1.3781 | G LOSS = 0.6994 | mean_pen: 0.0001 |  
iteration 9450 | D LOSS = 1.3783 | G LOSS = 0.7013 | mean_pen: 0.0001 |  
iteration 9500 | D LOSS = 1.3768 | G LOSS = 0.7023 | mean_pen: 0.0001 |  
