Logging
ITERATION 466.0000 | TOTAL G LOSS -0.6853
ITERATION 467.0000 | TOTAL G LOSS 0.5294
ITERATION 468.0000 | TOTAL G LOSS 0.3976
ITERATION 469.0000 | TOTAL G LOSS -0.7590
ITERATION 470.0000 | TOTAL G LOSS -1.1886
ITERATION 471.0000 | TOTAL G LOSS 0.2195
ITERATION 472.0000 | TOTAL G LOSS -2.4783
ITERATION 473.0000 | TOTAL G LOSS -1.4265
ITERATION 474.0000 | TOTAL G LOSS -2.1255
ITERATION 475.0000 | TOTAL G LOSS -0.2845
ITERATION 476.0000 | TOTAL G LOSS -2.2262
ITERATION 477.0000 | TOTAL G LOSS -2.1580
ITERATION 478.0000 | TOTAL G LOSS -0.9480
ITERATION 479.0000 | TOTAL G LOSS -2.2363
ITERATION 480.0000 | TOTAL G LOSS -2.3964
ITERATION 481.0000 | TOTAL G LOSS -0.7200
ITERATION 482.0000 | TOTAL G LOSS -1.5559
ITERATION 483.0000 | TOTAL G LOSS 2.0996
ITERATION 484.0000 | TOTAL G LOSS -2.2861
ITERATION 485.0000 | TOTAL G LOSS 0.5324
ITERATION 486.0000 | TOTAL G LOSS 0.2267
ITERATION 487.0000 | TOTAL G LOSS 4.3615
ITERATION 488.0000 | TOTAL G LOSS 1.5791
ITERATION 489.0000 | TOTAL G LOSS -0.5964
ITERATION 490.0000 | TOTAL G LOSS -1.5574
ITERATION 491.0000 | TOTAL G LOSS -0.0363
ITERATION 492.0000 | TOTAL G LOSS -0.2983
ITERATION 493.0000 | TOTAL G LOSS -1.1717
ITERATION 494.0000 | TOTAL G LOSS -1.0468
ITERATION 495.0000 | TOTAL G LOSS -0.3078
ITERATION 496.0000 | TOTAL G LOSS 1.5206
ITERATION 497.0000 | TOTAL G LOSS -1.9580
ITERATION 498.0000 | TOTAL G LOSS -2.5308
