Logging
iteration 11450 | D LOSS = 1.2140 | G LOSS = -164043698890342400.0000 | AVG R =0.4156 |  
iteration 11500 | D LOSS = 1.2049 | G LOSS = -178348327987838976.0000 | AVG R =0.4132 |  
iteration 11550 | D LOSS = 1.2083 | G LOSS = -217156157825875968.0000 | AVG R =0.4165 |  
iteration 11600 | D LOSS = 1.2072 | G LOSS = -270689231498641408.0000 | AVG R =0.4147 |  
iteration 11650 | D LOSS = 1.2021 | G LOSS = -246762226390663168.0000 | AVG R =0.4125 |  
iteration 11700 | D LOSS = 1.2035 | G LOSS = -275711852153929728.0000 | AVG R =0.4125 |  
iteration 11750 | D LOSS = 1.2103 | G LOSS = -336563739077640192.0000 | AVG R =0.4145 |  
iteration 11800 | D LOSS = 1.2144 | G LOSS = -275650554380681216.0000 | AVG R =0.4126 |  
iteration 11850 | D LOSS = 1.1920 | G LOSS = -401040544039436288.0000 | AVG R =0.4059 |  
iteration 11900 | D LOSS = 1.1969 | G LOSS = -354366790836420608.0000 | AVG R =0.4038 |  
iteration 11950 | D LOSS = 1.2018 | G LOSS = -455897584330866688.0000 | AVG R =0.4091 |  
iteration 12000 | D LOSS = 1.2015 | G LOSS = -509830450739412992.0000 | AVG R =0.4071 |  
iteration 12050 | D LOSS = 1.2043 | G LOSS = -432404044502269952.0000 | AVG R =0.4082 |  
iteration 12100 | D LOSS = 1.2083 | G LOSS = -603586116477517824.0000 | AVG R =0.4102 |  
iteration 12150 | D LOSS = 1.2061 | G LOSS = -389412074704338944.0000 | AVG R =0.4069 |  
iteration 12200 | D LOSS = 1.1992 | G LOSS = -595307412395655168.0000 | AVG R =0.4090 |  
iteration 12250 | D LOSS = 1.1884 | G LOSS = -617584548766547968.0000 | AVG R =0.4031 |  
iteration 12300 | D LOSS = 1.1914 | G LOSS = -520657616616030208.0000 | AVG R =0.4052 |  
iteration 12350 | D LOSS = 1.1852 | G LOSS = -846516888442765312.0000 | AVG R =0.3996 |  
iteration 12400 | D LOSS = 1.1930 | G LOSS = -716860553150070784.0000 | AVG R =0.4019 |  
iteration 12450 | D LOSS = 1.1914 | G LOSS = -939154316495683584.0000 | AVG R =0.3969 |  
iteration 12500 | D LOSS = 1.1696 | G LOSS = -958238608538468352.0000 | AVG R =0.3872 |  
iteration 12550 | D LOSS = 1.1964 | G LOSS = 9605873672388608.0000 | AVG R =0.4021 |  
